N, devector, deque, circular
10, 118.791, 69.7908, 48.6299
20, 246.494, 78.3286, 106.171
40, 201.205, 118.05, 203.432
80, 295.496, 374.195, 394.984
160, 662.266, 687.512, 1404.72
320, 974.094, 1603.7, 1419.56
640, 1728.43, 3017.31, 4965.5
1280, 3243.03, 3777.59, 5630.75
2560, 6319.75, 7507.69, 11261.5
5120, 11451.6, 20622.4, 42195
10240, 27179.8, 44571, 86291
20480, 53979.5, 90092.5, 89712
40960, 96174, 115941, 180565
81920, 261534, 233784, 363031
163840, 496079, 481253, 833261
327680, 1.06666e+006, 991018, 1.63877e+006
655360, 2.4268e+006, 2.04628e+006, 3.63982e+006